fact,question,answer,question2,answer2,question3,answer3,question4,answer4,index
Richard Perry is Reid Perry's father.,Richard Perry is Reid Perry's ,father,Is Richard Perry Reid Perry's father?,yes,Is Richard Perry Reid Perry's uncle?,no,Who is Richard Perry to Reid Perry?,father,0
Quentin Perry is Richard Perry's child.,Quentin Perry is Richard Perry's ,child,Is Quentin Perry Richard Perry's child?,yes,Is Quentin Perry Richard Perry's brother?,no,Who is Quentin Perry to Richard Perry?,child,1
Tessa Jenkins is Vanessa Jenkins's child.,Tessa Jenkins is Vanessa Jenkins's ,child,Is Tessa Jenkins Vanessa Jenkins's child?,yes,Is Tessa Jenkins Vanessa Jenkins's niece?,no,Who is Tessa Jenkins to Vanessa Jenkins?,child,2
Stephen Martinez is Steven Martinez's brother.,Stephen Martinez is Steven Martinez's ,brother,Is Stephen Martinez Steven Martinez's brother?,yes,Is Stephen Martinez Steven Martinez's husband?,no,Who is Stephen Martinez to Steven Martinez?,brother,3
Sienna Perry is Tobias Perry's wife.,Sienna Perry is Tobias Perry's ,wife,Is Sienna Perry Tobias Perry's wife?,yes,Is Sienna Perry Tobias Perry's aunt?,no,Who is Sienna Perry to Tobias Perry?,wife,4
Scott Gray is Riley Foster's child.,Scott Gray is Riley Foster's ,child,Is Scott Gray Riley Foster's child?,yes,Is Scott Gray Riley Foster's aunt?,no,Who is Scott Gray to Riley Foster?,child,5
Rachel Gray is Quinn Gray's sister.,Rachel Gray is Quinn Gray's ,sister,Is Rachel Gray Quinn Gray's sister?,yes,Is Rachel Gray Quinn Gray's child?,no,Who is Rachel Gray to Quinn Gray?,sister,6
Savannah Gray is Steven Martinez's sister.,Savannah Gray is Steven Martinez's ,sister,Is Savannah Gray Steven Martinez's sister?,yes,Is Savannah Gray Steven Martinez's wife?,no,Who is Savannah Gray to Steven Martinez?,sister,7
Thomas Martinez is Shelby Martinez's child.,Thomas Martinez is Shelby Martinez's ,child,Is Thomas Martinez Shelby Martinez's child?,yes,Is Thomas Martinez Shelby Martinez's uncle?,no,Who is Thomas Martinez to Shelby Martinez?,child,8
Xavier Ross is Zachary Ross's child.,Xavier Ross is Zachary Ross's ,child,Is Xavier Ross Zachary Ross's child?,yes,Is Xavier Ross Zachary Ross's niece?,no,Who is Xavier Ross to Zachary Ross?,child,9
Nathan Flores is Michelle Evans's husband.,Nathan Flores is Michelle Evans's ,husband,Is Nathan Flores Michelle Evans's husband?,yes,Is Nathan Flores Michelle Evans's mother?,no,Who is Nathan Flores to Michelle Evans?,husband,10
Sean Gray is Ruby Gray's nephew.,Sean Gray is Ruby Gray's ,nephew,Is Sean Gray Ruby Gray's nephew?,yes,Is Sean Gray Ruby Gray's mother?,no,Who is Sean Gray to Ruby Gray?,nephew,11
Wesley Jenkins is Wyatt Jenkins's child.,Wesley Jenkins is Wyatt Jenkins's ,child,Is Wesley Jenkins Wyatt Jenkins's child?,yes,Is Wesley Jenkins Wyatt Jenkins's aunt?,no,Who is Wesley Jenkins to Wyatt Jenkins?,child,12
Reed Perry is Parker Ross's child.,Reed Perry is Parker Ross's ,child,Is Reed Perry Parker Ross's child?,yes,Is Reed Perry Parker Ross's husband?,no,Who is Reed Perry to Parker Ross?,child,13
Valentina Hughes is Vanessa Jenkins's mother.,Valentina Hughes is Vanessa Jenkins's ,mother,Is Valentina Hughes Vanessa Jenkins's mother?,yes,Is Valentina Hughes Vanessa Jenkins's niece?,no,Who is Valentina Hughes to Vanessa Jenkins?,mother,14
Paisley Parker is Reid Perry's wife.,Paisley Parker is Reid Perry's ,wife,Is Paisley Parker Reid Perry's wife?,yes,Is Paisley Parker Reid Perry's father?,no,Who is Paisley Parker to Reid Perry?,wife,15
Parker Ross is Richard Perry's wife.,Parker Ross is Richard Perry's ,wife,Is Parker Ross Richard Perry's wife?,yes,Is Parker Ross Richard Perry's nephew?,no,Who is Parker Ross to Richard Perry?,wife,16
Samantha Howard is Simon Gray's wife.,Samantha Howard is Simon Gray's ,wife,Is Samantha Howard Simon Gray's wife?,yes,Is Samantha Howard Simon Gray's sister?,no,Who is Samantha Howard to Simon Gray?,wife,17
Owen Butler is Patrick Butler's brother.,Owen Butler is Patrick Butler's ,brother,Is Owen Butler Patrick Butler's brother?,yes,Is Owen Butler Patrick Butler's sister?,no,Who is Owen Butler to Patrick Butler?,brother,18
Quinn Gray is Scott Gray's sister.,Quinn Gray is Scott Gray's ,sister,Is Quinn Gray Scott Gray's sister?,yes,Is Quinn Gray Scott Gray's wife?,no,Who is Quinn Gray to Scott Gray?,sister,19
Avery Ross is Zane Ross's child.,Avery Ross is Zane Ross's ,child,Is Avery Ross Zane Ross's child?,yes,Is Avery Ross Zane Ross's brother?,no,Who is Avery Ross to Zane Ross?,child,20
Wyatt Jenkins is Violet Jenkins's father.,Wyatt Jenkins is Violet Jenkins's ,father,Is Wyatt Jenkins Violet Jenkins's father?,yes,Is Wyatt Jenkins Violet Jenkins's uncle?,no,Who is Wyatt Jenkins to Violet Jenkins?,father,21
Nora Long is Philip Parker's mother.,Nora Long is Philip Parker's ,mother,Is Nora Long Philip Parker's mother?,yes,Is Nora Long Philip Parker's sister?,no,Who is Nora Long to Philip Parker?,mother,22
Raymond Perry is Reid Perry's brother.,Raymond Perry is Reid Perry's ,brother,Is Raymond Perry Reid Perry's brother?,yes,Is Raymond Perry Reid Perry's husband?,no,Who is Raymond Perry to Reid Perry?,brother,23
Molly Flores is Noah Flores's sister.,Molly Flores is Noah Flores's ,sister,Is Molly Flores Noah Flores's sister?,yes,Is Molly Flores Noah Flores's wife?,no,Who is Molly Flores to Noah Flores?,sister,24
Michelle Evans is Melanie Flores's mother.,Michelle Evans is Melanie Flores's ,mother,Is Michelle Evans Melanie Flores's mother?,yes,Is Michelle Evans Melanie Flores's uncle?,no,Who is Michelle Evans to Melanie Flores?,mother,25
Travis Perry is Tobias Perry's father.,Travis Perry is Tobias Perry's ,father,Is Travis Perry Tobias Perry's father?,yes,Is Travis Perry Tobias Perry's wife?,no,Who is Travis Perry to Tobias Perry?,father,26
Sarah Gray is Theodore Martinez's niece.,Sarah Gray is Theodore Martinez's ,niece,Is Sarah Gray Theodore Martinez's niece?,yes,Is Sarah Gray Theodore Martinez's brother?,no,Who is Sarah Gray to Theodore Martinez?,niece,27
Michael Parker is Melanie Flores's nephew.,Michael Parker is Melanie Flores's ,nephew,Is Michael Parker Melanie Flores's nephew?,yes,Is Michael Parker Melanie Flores's mother?,no,Who is Michael Parker to Melanie Flores?,nephew,28
Mia Flores is Miles Parker's wife.,Mia Flores is Miles Parker's ,wife,Is Mia Flores Miles Parker's wife?,yes,Is Mia Flores Miles Parker's brother?,no,Who is Mia Flores to Miles Parker?,wife,29
Ruby Gray is Shane Gray's child.,Ruby Gray is Shane Gray's ,child,Is Ruby Gray Shane Gray's child?,yes,Is Ruby Gray Shane Gray's mother?,no,Who is Ruby Gray to Shane Gray?,child,30
Naomi Flores is Nolan Flores's mother.,Naomi Flores is Nolan Flores's ,mother,Is Naomi Flores Nolan Flores's mother?,yes,Is Naomi Flores Nolan Flores's nephew?,no,Who is Naomi Flores to Nolan Flores?,mother,31
Wyatt Jenkins is William Jenkins's father.,Wyatt Jenkins is William Jenkins's ,father,Is Wyatt Jenkins William Jenkins's father?,yes,Is Wyatt Jenkins William Jenkins's husband?,no,Who is Wyatt Jenkins to William Jenkins?,father,32
Sierra Perry is Tobias Perry's mother.,Sierra Perry is Tobias Perry's ,mother,Is Sierra Perry Tobias Perry's mother?,yes,Is Sierra Perry Tobias Perry's niece?,no,Who is Sierra Perry to Tobias Perry?,mother,33
Penelope Foster is Ronan Foster's sister.,Penelope Foster is Ronan Foster's ,sister,Is Penelope Foster Ronan Foster's sister?,yes,Is Penelope Foster Ronan Foster's brother?,no,Who is Penelope Foster to Ronan Foster?,sister,34
Quentin Perry is Parker Ross's child.,Quentin Perry is Parker Ross's ,child,Is Quentin Perry Parker Ross's child?,yes,Is Quentin Perry Parker Ross's father?,no,Who is Quentin Perry to Parker Ross?,child,35
Riley Foster is Quinn Gray's mother.,Riley Foster is Quinn Gray's ,mother,Is Riley Foster Quinn Gray's mother?,yes,Is Riley Foster Quinn Gray's wife?,no,Who is Riley Foster to Quinn Gray?,mother,36
Patrick Butler is Paul Butler's child.,Patrick Butler is Paul Butler's ,child,Is Patrick Butler Paul Butler's child?,yes,Is Patrick Butler Paul Butler's husband?,no,Who is Patrick Butler to Paul Butler?,child,37
Sydney Evans is Tyler Martinez's wife.,Sydney Evans is Tyler Martinez's ,wife,Is Sydney Evans Tyler Martinez's wife?,yes,Is Sydney Evans Tyler Martinez's brother?,no,Who is Sydney Evans to Tyler Martinez?,wife,38
Sean Gray is Seth Gray's child.,Sean Gray is Seth Gray's ,child,Is Sean Gray Seth Gray's child?,yes,Is Sean Gray Seth Gray's aunt?,no,Who is Sean Gray to Seth Gray?,child,39
Steven Martinez is Savannah Gray's brother.,Steven Martinez is Savannah Gray's ,brother,Is Steven Martinez Savannah Gray's brother?,yes,Is Steven Martinez Savannah Gray's uncle?,no,Who is Steven Martinez to Savannah Gray?,brother,40
Stella Hughes is Victor Hughes's child.,Stella Hughes is Victor Hughes's ,child,Is Stella Hughes Victor Hughes's child?,yes,Is Stella Hughes Victor Hughes's father?,no,Who is Stella Hughes to Victor Hughes?,child,41
Avery Ross is Sloane Lee's child.,Avery Ross is Sloane Lee's ,child,Is Avery Ross Sloane Lee's child?,yes,Is Avery Ross Sloane Lee's wife?,no,Who is Avery Ross to Sloane Lee?,child,42
Timothy Martinez is Thomas Martinez's father.,Timothy Martinez is Thomas Martinez's ,father,Is Timothy Martinez Thomas Martinez's father?,yes,Is Timothy Martinez Thomas Martinez's mother?,no,Who is Timothy Martinez to Thomas Martinez?,father,43
Nicholas Flores is Mila Flores's husband.,Nicholas Flores is Mila Flores's ,husband,Is Nicholas Flores Mila Flores's husband?,yes,Is Nicholas Flores Mila Flores's niece?,no,Who is Nicholas Flores to Mila Flores?,husband,44
Spencer Gray is Savannah Gray's husband.,Spencer Gray is Savannah Gray's ,husband,Is Spencer Gray Savannah Gray's husband?,yes,Is Spencer Gray Savannah Gray's father?,no,Who is Spencer Gray to Savannah Gray?,husband,45
Vivienne Simmons is William Jenkins's mother.,Vivienne Simmons is William Jenkins's ,mother,Is Vivienne Simmons William Jenkins's mother?,yes,Is Vivienne Simmons William Jenkins's sister?,no,Who is Vivienne Simmons to William Jenkins?,mother,46
Travis Perry is Sierra Perry's husband.,Travis Perry is Sierra Perry's ,husband,Is Travis Perry Sierra Perry's husband?,yes,Is Travis Perry Sierra Perry's uncle?,no,Who is Travis Perry to Sierra Perry?,husband,47
Shane Gray is Ruby Gray's father.,Shane Gray is Ruby Gray's ,father,Is Shane Gray Ruby Gray's father?,yes,Is Shane Gray Ruby Gray's wife?,no,Who is Shane Gray to Ruby Gray?,father,48
Naomi Flores is Oscar Butler's child.,Naomi Flores is Oscar Butler's ,child,Is Naomi Flores Oscar Butler's child?,yes,Is Naomi Flores Oscar Butler's sister?,no,Who is Naomi Flores to Oscar Butler?,child,49
Wesley Jenkins is Violet Jenkins's brother.,Wesley Jenkins is Violet Jenkins's ,brother,Is Wesley Jenkins Violet Jenkins's brother?,yes,Is Wesley Jenkins Violet Jenkins's aunt?,no,Who is Wesley Jenkins to Violet Jenkins?,brother,50
Wesley Jenkins is Tessa Jenkins's uncle.,Wesley Jenkins is Tessa Jenkins's ,uncle,Is Wesley Jenkins Tessa Jenkins's uncle?,yes,Is Wesley Jenkins Tessa Jenkins's wife?,no,Who is Wesley Jenkins to Tessa Jenkins?,uncle,51
Valentina Hughes is Vincent Hughes's wife.,Valentina Hughes is Vincent Hughes's ,wife,Is Valentina Hughes Vincent Hughes's wife?,yes,Is Valentina Hughes Vincent Hughes's mother?,no,Who is Valentina Hughes to Vincent Hughes?,wife,52
Spencer Gray is Sarah Gray's father.,Spencer Gray is Sarah Gray's ,father,Is Spencer Gray Sarah Gray's father?,yes,Is Spencer Gray Sarah Gray's uncle?,no,Who is Spencer Gray to Sarah Gray?,father,53
Nolan Flores is Oliver Flores's child.,Nolan Flores is Oliver Flores's ,child,Is Nolan Flores Oliver Flores's child?,yes,Is Nolan Flores Oliver Flores's nephew?,no,Who is Nolan Flores to Oliver Flores?,child,54
Owen Butler is Nicole Butler's child.,Owen Butler is Nicole Butler's ,child,Is Owen Butler Nicole Butler's child?,yes,Is Owen Butler Nicole Butler's husband?,no,Who is Owen Butler to Nicole Butler?,child,55
Skylar Bailey is Zachary Ross's wife.,Skylar Bailey is Zachary Ross's ,wife,Is Skylar Bailey Zachary Ross's wife?,yes,Is Skylar Bailey Zachary Ross's mother?,no,Who is Skylar Bailey to Zachary Ross?,wife,56
Preston Parker is Paisley Parker's father.,Preston Parker is Paisley Parker's ,father,Is Preston Parker Paisley Parker's father?,yes,Is Preston Parker Paisley Parker's uncle?,no,Who is Preston Parker to Paisley Parker?,father,57
Richard Perry is Payton Gray's child.,Richard Perry is Payton Gray's ,child,Is Richard Perry Payton Gray's child?,yes,Is Richard Perry Payton Gray's brother?,no,Who is Richard Perry to Payton Gray?,child,58
Ruby Gray is Quinn Gray's aunt.,Ruby Gray is Quinn Gray's ,aunt,Is Ruby Gray Quinn Gray's aunt?,yes,Is Ruby Gray Quinn Gray's brother?,no,Who is Ruby Gray to Quinn Gray?,aunt,59
Wesley Jenkins is Trinity Jenkins's uncle.,Wesley Jenkins is Trinity Jenkins's ,uncle,Is Wesley Jenkins Trinity Jenkins's uncle?,yes,Is Wesley Jenkins Trinity Jenkins's sister?,no,Who is Wesley Jenkins to Trinity Jenkins?,uncle,60
Savannah Gray is Spencer Gray's wife.,Savannah Gray is Spencer Gray's ,wife,Is Savannah Gray Spencer Gray's wife?,yes,Is Savannah Gray Spencer Gray's sister?,no,Who is Savannah Gray to Spencer Gray?,wife,61
Naomi Flores is Noah Flores's mother.,Naomi Flores is Noah Flores's ,mother,Is Naomi Flores Noah Flores's mother?,yes,Is Naomi Flores Noah Flores's father?,no,Who is Naomi Flores to Noah Flores?,mother,62
Raymond Perry is Quentin Perry's brother.,Raymond Perry is Quentin Perry's ,brother,Is Raymond Perry Quentin Perry's brother?,yes,Is Raymond Perry Quentin Perry's uncle?,no,Who is Raymond Perry to Quentin Perry?,brother,63
Sean Gray is Quinn Gray's brother.,Sean Gray is Quinn Gray's ,brother,Is Sean Gray Quinn Gray's brother?,yes,Is Sean Gray Quinn Gray's wife?,no,Who is Sean Gray to Quinn Gray?,brother,64
Timothy Martinez is Shelby Martinez's husband.,Timothy Martinez is Shelby Martinez's ,husband,Is Timothy Martinez Shelby Martinez's husband?,yes,Is Timothy Martinez Shelby Martinez's father?,no,Who is Timothy Martinez to Shelby Martinez?,husband,65
Paige Howard is Paisley Parker's mother.,Paige Howard is Paisley Parker's ,mother,Is Paige Howard Paisley Parker's mother?,yes,Is Paige Howard Paisley Parker's nephew?,no,Who is Paige Howard to Paisley Parker?,mother,66
Wyatt Jenkins is Victoria Jenkins's father.,Wyatt Jenkins is Victoria Jenkins's ,father,Is Wyatt Jenkins Victoria Jenkins's father?,yes,Is Wyatt Jenkins Victoria Jenkins's niece?,no,Who is Wyatt Jenkins to Victoria Jenkins?,father,67
Sarah Gray is Steven Martinez's niece.,Sarah Gray is Steven Martinez's ,niece,Is Sarah Gray Steven Martinez's niece?,yes,Is Sarah Gray Steven Martinez's father?,no,Who is Sarah Gray to Steven Martinez?,niece,68
Olivia Ramirez is Philip Parker's wife.,Olivia Ramirez is Philip Parker's ,wife,Is Olivia Ramirez Philip Parker's wife?,yes,Is Olivia Ramirez Philip Parker's child?,no,Who is Olivia Ramirez to Philip Parker?,wife,69
Philip Parker is Preston Parker's father.,Philip Parker is Preston Parker's ,father,Is Philip Parker Preston Parker's father?,yes,Is Philip Parker Preston Parker's uncle?,no,Who is Philip Parker to Preston Parker?,father,70
Shelby Martinez is Thomas Martinez's mother.,Shelby Martinez is Thomas Martinez's ,mother,Is Shelby Martinez Thomas Martinez's mother?,yes,Is Shelby Martinez Thomas Martinez's father?,no,Who is Shelby Martinez to Thomas Martinez?,mother,71
Melanie Flores is Mia Flores's sister.,Melanie Flores is Mia Flores's ,sister,Is Melanie Flores Mia Flores's sister?,yes,Is Melanie Flores Mia Flores's aunt?,no,Who is Melanie Flores to Mia Flores?,sister,72
Riley Foster is Seth Gray's wife.,Riley Foster is Seth Gray's ,wife,Is Riley Foster Seth Gray's wife?,yes,Is Riley Foster Seth Gray's father?,no,Who is Riley Foster to Seth Gray?,wife,73
Taylor Martinez is Victor Hughes's wife.,Taylor Martinez is Victor Hughes's ,wife,Is Taylor Martinez Victor Hughes's wife?,yes,Is Taylor Martinez Victor Hughes's child?,no,Who is Taylor Martinez to Victor Hughes?,wife,74
Zoey Jenkins is Willow Ross's mother.,Zoey Jenkins is Willow Ross's ,mother,Is Zoey Jenkins Willow Ross's mother?,yes,Is Zoey Jenkins Willow Ross's aunt?,no,Who is Zoey Jenkins to Willow Ross?,mother,75
Zane Ross is Zachary Ross's father.,Zane Ross is Zachary Ross's ,father,Is Zane Ross Zachary Ross's father?,yes,Is Zane Ross Zachary Ross's wife?,no,Who is Zane Ross to Zachary Ross?,father,76
Sarah Gray is Stephen Martinez's niece.,Sarah Gray is Stephen Martinez's ,niece,Is Sarah Gray Stephen Martinez's niece?,yes,Is Sarah Gray Stephen Martinez's mother?,no,Who is Sarah Gray to Stephen Martinez?,niece,77
Reed Perry is Raymond Perry's brother.,Reed Perry is Raymond Perry's ,brother,Is Reed Perry Raymond Perry's brother?,yes,Is Reed Perry Raymond Perry's sister?,no,Who is Reed Perry to Raymond Perry?,brother,78
Simon Gray is Samantha Howard's husband.,Simon Gray is Samantha Howard's ,husband,Is Simon Gray Samantha Howard's husband?,yes,Is Simon Gray Samantha Howard's wife?,no,Who is Simon Gray to Samantha Howard?,husband,79
Mia Flores is Melanie Flores's sister.,Mia Flores is Melanie Flores's ,sister,Is Mia Flores Melanie Flores's sister?,yes,Is Mia Flores Melanie Flores's uncle?,no,Who is Mia Flores to Melanie Flores?,sister,80
Quinn Gray is Rachel Gray's sister.,Quinn Gray is Rachel Gray's ,sister,Is Quinn Gray Rachel Gray's sister?,yes,Is Quinn Gray Rachel Gray's uncle?,no,Who is Quinn Gray to Rachel Gray?,sister,81
William Jenkins is Wesley Jenkins's brother.,William Jenkins is Wesley Jenkins's ,brother,Is William Jenkins Wesley Jenkins's brother?,yes,Is William Jenkins Wesley Jenkins's husband?,no,Who is William Jenkins to Wesley Jenkins?,brother,82
Sadie Brooks is Ruby Gray's mother.,Sadie Brooks is Ruby Gray's ,mother,Is Sadie Brooks Ruby Gray's mother?,yes,Is Sadie Brooks Ruby Gray's nephew?,no,Who is Sadie Brooks to Ruby Gray?,mother,83
Victor Hughes is Taylor Martinez's husband.,Victor Hughes is Taylor Martinez's ,husband,Is Victor Hughes Taylor Martinez's husband?,yes,Is Victor Hughes Taylor Martinez's sister?,no,Who is Victor Hughes to Taylor Martinez?,husband,84
Vivienne Simmons is Victoria Jenkins's mother.,Vivienne Simmons is Victoria Jenkins's ,mother,Is Vivienne Simmons Victoria Jenkins's mother?,yes,Is Vivienne Simmons Victoria Jenkins's nephew?,no,Who is Vivienne Simmons to Victoria Jenkins?,mother,85
Nicholas Flores is Oliver Flores's father.,Nicholas Flores is Oliver Flores's ,father,Is Nicholas Flores Oliver Flores's father?,yes,Is Nicholas Flores Oliver Flores's husband?,no,Who is Nicholas Flores to Oliver Flores?,father,86
Theodore Martinez is Scarlett Martinez's child.,Theodore Martinez is Scarlett Martinez's ,child,Is Theodore Martinez Scarlett Martinez's child?,yes,Is Theodore Martinez Scarlett Martinez's wife?,no,Who is Theodore Martinez to Scarlett Martinez?,child,87
Nicole Butler is Peter Parker's child.,Nicole Butler is Peter Parker's ,child,Is Nicole Butler Peter Parker's child?,yes,Is Nicole Butler Peter Parker's niece?,no,Who is Nicole Butler to Peter Parker?,child,88
Theodore Martinez is Steven Martinez's brother.,Theodore Martinez is Steven Martinez's ,brother,Is Theodore Martinez Steven Martinez's brother?,yes,Is Theodore Martinez Steven Martinez's aunt?,no,Who is Theodore Martinez to Steven Martinez?,brother,89
Sebastian Foster is Riley Foster's father.,Sebastian Foster is Riley Foster's ,father,Is Sebastian Foster Riley Foster's father?,yes,Is Sebastian Foster Riley Foster's child?,no,Who is Sebastian Foster to Riley Foster?,father,90
Sean Gray is Riley Foster's child.,Sean Gray is Riley Foster's ,child,Is Sean Gray Riley Foster's child?,yes,Is Sean Gray Riley Foster's nephew?,no,Who is Sean Gray to Riley Foster?,child,91
Shane Gray is Seth Gray's father.,Shane Gray is Seth Gray's ,father,Is Shane Gray Seth Gray's father?,yes,Is Shane Gray Seth Gray's uncle?,no,Who is Shane Gray to Seth Gray?,father,92
Olivia Ramirez is Preston Parker's mother.,Olivia Ramirez is Preston Parker's ,mother,Is Olivia Ramirez Preston Parker's mother?,yes,Is Olivia Ramirez Preston Parker's nephew?,no,Who is Olivia Ramirez to Preston Parker?,mother,93
Naomi Flores is Molly Flores's mother.,Naomi Flores is Molly Flores's ,mother,Is Naomi Flores Molly Flores's mother?,yes,Is Naomi Flores Molly Flores's brother?,no,Who is Naomi Flores to Molly Flores?,mother,94
Zoe Reed is Xander Jenkins's wife.,Zoe Reed is Xander Jenkins's ,wife,Is Zoe Reed Xander Jenkins's wife?,yes,Is Zoe Reed Xander Jenkins's niece?,no,Who is Zoe Reed to Xander Jenkins?,wife,95
Tristan Perry is Sophia Martinez's nephew.,Tristan Perry is Sophia Martinez's ,nephew,Is Tristan Perry Sophia Martinez's nephew?,yes,Is Tristan Perry Sophia Martinez's father?,no,Who is Tristan Perry to Sophia Martinez?,nephew,96
Seth Gray is Rachel Gray's father.,Seth Gray is Rachel Gray's ,father,Is Seth Gray Rachel Gray's father?,yes,Is Seth Gray Rachel Gray's brother?,no,Who is Seth Gray to Rachel Gray?,father,97
Reed Perry is Richard Perry's child.,Reed Perry is Richard Perry's ,child,Is Reed Perry Richard Perry's child?,yes,Is Reed Perry Richard Perry's uncle?,no,Who is Reed Perry to Richard Perry?,child,98
Molly Flores is Nolan Flores's sister.,Molly Flores is Nolan Flores's ,sister,Is Molly Flores Nolan Flores's sister?,yes,Is Molly Flores Nolan Flores's wife?,no,Who is Molly Flores to Nolan Flores?,sister,99
