fact,question,answer,question2,answer2,question3,answer3,question4,answer4,index
Theodore Martinez is Savannah Gray's brother.,Theodore Martinez is Savannah Gray's ,brother,Is Theodore Martinez Savannah Gray's brother?,yes,Is Theodore Martinez Savannah Gray's nephew?,no,Who is Theodore Martinez to Savannah Gray?,brother,299
Samuel Foster is Penelope Foster's father.,Samuel Foster is Penelope Foster's ,father,Is Samuel Foster Penelope Foster's father?,yes,Is Samuel Foster Penelope Foster's brother?,no,Who is Samuel Foster to Penelope Foster?,father,300
William Jenkins is Vivienne Simmons's child.,William Jenkins is Vivienne Simmons's ,child,Is William Jenkins Vivienne Simmons's child?,yes,Is William Jenkins Vivienne Simmons's aunt?,no,Who is William Jenkins to Vivienne Simmons?,child,301
Tessa Jenkins is William Jenkins's child.,Tessa Jenkins is William Jenkins's ,child,Is Tessa Jenkins William Jenkins's child?,yes,Is Tessa Jenkins William Jenkins's aunt?,no,Who is Tessa Jenkins to William Jenkins?,child,302
Sydney Evans is Taylor Martinez's mother.,Sydney Evans is Taylor Martinez's ,mother,Is Sydney Evans Taylor Martinez's mother?,yes,Is Sydney Evans Taylor Martinez's aunt?,no,Who is Sydney Evans to Taylor Martinez?,mother,303
Scott Gray is Ruby Gray's nephew.,Scott Gray is Ruby Gray's ,nephew,Is Scott Gray Ruby Gray's nephew?,yes,Is Scott Gray Ruby Gray's niece?,no,Who is Scott Gray to Ruby Gray?,nephew,304
Troy Perry is Sophie Perry's husband.,Troy Perry is Sophie Perry's ,husband,Is Troy Perry Sophie Perry's husband?,yes,Is Troy Perry Sophie Perry's aunt?,no,Who is Troy Perry to Sophie Perry?,husband,305
Travis Perry is Troy Perry's father.,Travis Perry is Troy Perry's ,father,Is Travis Perry Troy Perry's father?,yes,Is Travis Perry Troy Perry's brother?,no,Who is Travis Perry to Troy Perry?,father,306
Scott Gray is Rachel Gray's brother.,Scott Gray is Rachel Gray's ,brother,Is Scott Gray Rachel Gray's brother?,yes,Is Scott Gray Rachel Gray's wife?,no,Who is Scott Gray to Rachel Gray?,brother,307
Melanie Flores is Michelle Evans's child.,Melanie Flores is Michelle Evans's ,child,Is Melanie Flores Michelle Evans's child?,yes,Is Melanie Flores Michelle Evans's sister?,no,Who is Melanie Flores to Michelle Evans?,child,308
Michelle Evans is Mia Flores's mother.,Michelle Evans is Mia Flores's ,mother,Is Michelle Evans Mia Flores's mother?,yes,Is Michelle Evans Mia Flores's brother?,no,Who is Michelle Evans to Mia Flores?,mother,309
Sophie Perry is Tristan Perry's mother.,Sophie Perry is Tristan Perry's ,mother,Is Sophie Perry Tristan Perry's mother?,yes,Is Sophie Perry Tristan Perry's wife?,no,Who is Sophie Perry to Tristan Perry?,mother,310
Vivienne Simmons is Wyatt Jenkins's wife.,Vivienne Simmons is Wyatt Jenkins's ,wife,Is Vivienne Simmons Wyatt Jenkins's wife?,yes,Is Vivienne Simmons Wyatt Jenkins's mother?,no,Who is Vivienne Simmons to Wyatt Jenkins?,wife,311
Peter Parker is Philip Parker's father.,Peter Parker is Philip Parker's ,father,Is Peter Parker Philip Parker's father?,yes,Is Peter Parker Philip Parker's uncle?,no,Who is Peter Parker to Philip Parker?,father,312
Payton Gray is Robert Perry's wife.,Payton Gray is Robert Perry's ,wife,Is Payton Gray Robert Perry's wife?,yes,Is Payton Gray Robert Perry's aunt?,no,Who is Payton Gray to Robert Perry?,wife,313
Sierra Perry is Troy Perry's mother.,Sierra Perry is Troy Perry's ,mother,Is Sierra Perry Troy Perry's mother?,yes,Is Sierra Perry Troy Perry's aunt?,no,Who is Sierra Perry to Troy Perry?,mother,314
Peter Parker is Nora Long's husband.,Peter Parker is Nora Long's ,husband,Is Peter Parker Nora Long's husband?,yes,Is Peter Parker Nora Long's sister?,no,Who is Peter Parker to Nora Long?,husband,315
Poppy Perry is Penelope Foster's mother.,Poppy Perry is Penelope Foster's ,mother,Is Poppy Perry Penelope Foster's mother?,yes,Is Poppy Perry Penelope Foster's father?,no,Who is Poppy Perry to Penelope Foster?,mother,316
Robert Perry is Piper Bryant's child.,Robert Perry is Piper Bryant's ,child,Is Robert Perry Piper Bryant's child?,yes,Is Robert Perry Piper Bryant's nephew?,no,Who is Robert Perry to Piper Bryant?,child,317
Ruby Gray is Sean Gray's aunt.,Ruby Gray is Sean Gray's ,aunt,Is Ruby Gray Sean Gray's aunt?,yes,Is Ruby Gray Sean Gray's father?,no,Who is Ruby Gray to Sean Gray?,aunt,318
Xavier Ross is Willow Ross's father.,Xavier Ross is Willow Ross's ,father,Is Xavier Ross Willow Ross's father?,yes,Is Xavier Ross Willow Ross's uncle?,no,Who is Xavier Ross to Willow Ross?,father,319
Seth Gray is Shane Gray's child.,Seth Gray is Shane Gray's ,child,Is Seth Gray Shane Gray's child?,yes,Is Seth Gray Shane Gray's husband?,no,Who is Seth Gray to Shane Gray?,child,320
Stephen Martinez is Theodore Martinez's brother.,Stephen Martinez is Theodore Martinez's ,brother,Is Stephen Martinez Theodore Martinez's brother?,yes,Is Stephen Martinez Theodore Martinez's niece?,no,Who is Stephen Martinez to Theodore Martinez?,brother,321
Scarlett Martinez is Stephen Martinez's mother.,Scarlett Martinez is Stephen Martinez's ,mother,Is Scarlett Martinez Stephen Martinez's mother?,yes,Is Scarlett Martinez Stephen Martinez's brother?,no,Who is Scarlett Martinez to Stephen Martinez?,mother,322
Riley Foster is Sean Gray's mother.,Riley Foster is Sean Gray's ,mother,Is Riley Foster Sean Gray's mother?,yes,Is Riley Foster Sean Gray's uncle?,no,Who is Riley Foster to Sean Gray?,mother,323
Patrick Butler is Nicole Butler's child.,Patrick Butler is Nicole Butler's ,child,Is Patrick Butler Nicole Butler's child?,yes,Is Patrick Butler Nicole Butler's aunt?,no,Who is Patrick Butler to Nicole Butler?,child,324
Timothy Martinez is Sienna Perry's father.,Timothy Martinez is Sienna Perry's ,father,Is Timothy Martinez Sienna Perry's father?,yes,Is Timothy Martinez Sienna Perry's child?,no,Who is Timothy Martinez to Sienna Perry?,father,325
Savannah Gray is Theodore Martinez's sister.,Savannah Gray is Theodore Martinez's ,sister,Is Savannah Gray Theodore Martinez's sister?,yes,Is Savannah Gray Theodore Martinez's wife?,no,Who is Savannah Gray to Theodore Martinez?,sister,326
Samuel Foster is Ronan Foster's father.,Samuel Foster is Ronan Foster's ,father,Is Samuel Foster Ronan Foster's father?,yes,Is Samuel Foster Ronan Foster's niece?,no,Who is Samuel Foster to Ronan Foster?,father,327
Samuel Foster is Reagan Parker's child.,Samuel Foster is Reagan Parker's ,child,Is Samuel Foster Reagan Parker's child?,yes,Is Samuel Foster Reagan Parker's brother?,no,Who is Samuel Foster to Reagan Parker?,child,328
Parker Ross is Raymond Perry's mother.,Parker Ross is Raymond Perry's ,mother,Is Parker Ross Raymond Perry's mother?,yes,Is Parker Ross Raymond Perry's brother?,no,Who is Parker Ross to Raymond Perry?,mother,329
Michael Parker is Mia Flores's child.,Michael Parker is Mia Flores's ,child,Is Michael Parker Mia Flores's child?,yes,Is Michael Parker Mia Flores's aunt?,no,Who is Michael Parker to Mia Flores?,child,330
Summer Hughes is Victor Hughes's child.,Summer Hughes is Victor Hughes's ,child,Is Summer Hughes Victor Hughes's child?,yes,Is Summer Hughes Victor Hughes's wife?,no,Who is Summer Hughes to Victor Hughes?,child,331
Thomas Martinez is Steven Martinez's father.,Thomas Martinez is Steven Martinez's ,father,Is Thomas Martinez Steven Martinez's father?,yes,Is Thomas Martinez Steven Martinez's aunt?,no,Who is Thomas Martinez to Steven Martinez?,father,332
Oliver Flores is Naomi Flores's husband.,Oliver Flores is Naomi Flores's ,husband,Is Oliver Flores Naomi Flores's husband?,yes,Is Oliver Flores Naomi Flores's wife?,no,Who is Oliver Flores to Naomi Flores?,husband,333
Sophie Perry is Troy Perry's wife.,Sophie Perry is Troy Perry's ,wife,Is Sophie Perry Troy Perry's wife?,yes,Is Sophie Perry Troy Perry's nephew?,no,Who is Sophie Perry to Troy Perry?,wife,334
Ryan Perry is Poppy Perry's father.,Ryan Perry is Poppy Perry's ,father,Is Ryan Perry Poppy Perry's father?,yes,Is Ryan Perry Poppy Perry's wife?,no,Who is Ryan Perry to Poppy Perry?,father,335
Poppy Perry is Ronan Foster's mother.,Poppy Perry is Ronan Foster's ,mother,Is Poppy Perry Ronan Foster's mother?,yes,Is Poppy Perry Ronan Foster's husband?,no,Who is Poppy Perry to Ronan Foster?,mother,336
Noah Flores is Oliver Flores's child.,Noah Flores is Oliver Flores's ,child,Is Noah Flores Oliver Flores's child?,yes,Is Noah Flores Oliver Flores's husband?,no,Who is Noah Flores to Oliver Flores?,child,337
Reed Perry is Quentin Perry's brother.,Reed Perry is Quentin Perry's ,brother,Is Reed Perry Quentin Perry's brother?,yes,Is Reed Perry Quentin Perry's niece?,no,Who is Reed Perry to Quentin Perry?,brother,338
Sloane Lee is Avery Ross's mother.,Sloane Lee is Avery Ross's ,mother,Is Sloane Lee Avery Ross's mother?,yes,Is Sloane Lee Avery Ross's father?,no,Who is Sloane Lee to Avery Ross?,mother,339
Wesley Jenkins is William Jenkins's brother.,Wesley Jenkins is William Jenkins's ,brother,Is Wesley Jenkins William Jenkins's brother?,yes,Is Wesley Jenkins William Jenkins's father?,no,Who is Wesley Jenkins to William Jenkins?,brother,340
Tristan Perry is Sophie Perry's child.,Tristan Perry is Sophie Perry's ,child,Is Tristan Perry Sophie Perry's child?,yes,Is Tristan Perry Sophie Perry's wife?,no,Who is Tristan Perry to Sophie Perry?,child,341
Naomi Flores is Natalie Foster's child.,Naomi Flores is Natalie Foster's ,child,Is Naomi Flores Natalie Foster's child?,yes,Is Naomi Flores Natalie Foster's sister?,no,Who is Naomi Flores to Natalie Foster?,child,342
Violet Jenkins is Vivienne Simmons's child.,Violet Jenkins is Vivienne Simmons's ,child,Is Violet Jenkins Vivienne Simmons's child?,yes,Is Violet Jenkins Vivienne Simmons's wife?,no,Who is Violet Jenkins to Vivienne Simmons?,child,343
Sarah Gray is Savannah Gray's child.,Sarah Gray is Savannah Gray's ,child,Is Sarah Gray Savannah Gray's child?,yes,Is Sarah Gray Savannah Gray's father?,no,Who is Sarah Gray to Savannah Gray?,child,344
Reid Perry is Raymond Perry's brother.,Reid Perry is Raymond Perry's ,brother,Is Reid Perry Raymond Perry's brother?,yes,Is Reid Perry Raymond Perry's husband?,no,Who is Reid Perry to Raymond Perry?,brother,345
Troy Perry is Tristan Perry's father.,Troy Perry is Tristan Perry's ,father,Is Troy Perry Tristan Perry's father?,yes,Is Troy Perry Tristan Perry's uncle?,no,Who is Troy Perry to Tristan Perry?,father,346
Willow Ross is Zoey Jenkins's child.,Willow Ross is Zoey Jenkins's ,child,Is Willow Ross Zoey Jenkins's child?,yes,Is Willow Ross Zoey Jenkins's aunt?,no,Who is Willow Ross to Zoey Jenkins?,child,347
Theodore Martinez is Stephen Martinez's brother.,Theodore Martinez is Stephen Martinez's ,brother,Is Theodore Martinez Stephen Martinez's brother?,yes,Is Theodore Martinez Stephen Martinez's husband?,no,Who is Theodore Martinez to Stephen Martinez?,brother,348
Stella Hughes is Summer Hughes's sister.,Stella Hughes is Summer Hughes's ,sister,Is Stella Hughes Summer Hughes's sister?,yes,Is Stella Hughes Summer Hughes's wife?,no,Who is Stella Hughes to Summer Hughes?,sister,349
Sloane Lee is Zachary Ross's mother.,Sloane Lee is Zachary Ross's ,mother,Is Sloane Lee Zachary Ross's mother?,yes,Is Sloane Lee Zachary Ross's sister?,no,Who is Sloane Lee to Zachary Ross?,mother,350
Savannah Gray is Scarlett Martinez's child.,Savannah Gray is Scarlett Martinez's ,child,Is Savannah Gray Scarlett Martinez's child?,yes,Is Savannah Gray Scarlett Martinez's brother?,no,Who is Savannah Gray to Scarlett Martinez?,child,351
Rachel Gray is Riley Foster's child.,Rachel Gray is Riley Foster's ,child,Is Rachel Gray Riley Foster's child?,yes,Is Rachel Gray Riley Foster's uncle?,no,Who is Rachel Gray to Riley Foster?,child,352
Oliver Flores is Noah Flores's father.,Oliver Flores is Noah Flores's ,father,Is Oliver Flores Noah Flores's father?,yes,Is Oliver Flores Noah Flores's uncle?,no,Who is Oliver Flores to Noah Flores?,father,353
Xander Jenkins is Zoey Jenkins's father.,Xander Jenkins is Zoey Jenkins's ,father,Is Xander Jenkins Zoey Jenkins's father?,yes,Is Xander Jenkins Zoey Jenkins's wife?,no,Who is Xander Jenkins to Zoey Jenkins?,father,354
Maya Diaz is Michael Parker's wife.,Maya Diaz is Michael Parker's ,wife,Is Maya Diaz Michael Parker's wife?,yes,Is Maya Diaz Michael Parker's aunt?,no,Who is Maya Diaz to Michael Parker?,wife,355
Reid Perry is Richard Perry's child.,Reid Perry is Richard Perry's ,child,Is Reid Perry Richard Perry's child?,yes,Is Reid Perry Richard Perry's mother?,no,Who is Reid Perry to Richard Perry?,child,356
Oscar Butler is Paul Butler's father.,Oscar Butler is Paul Butler's ,father,Is Oscar Butler Paul Butler's father?,yes,Is Oscar Butler Paul Butler's mother?,no,Who is Oscar Butler to Paul Butler?,father,357
Wyatt Jenkins is Wesley Jenkins's father.,Wyatt Jenkins is Wesley Jenkins's ,father,Is Wyatt Jenkins Wesley Jenkins's father?,yes,Is Wyatt Jenkins Wesley Jenkins's brother?,no,Who is Wyatt Jenkins to Wesley Jenkins?,father,358
Shelby Martinez is Sienna Perry's mother.,Shelby Martinez is Sienna Perry's ,mother,Is Shelby Martinez Sienna Perry's mother?,yes,Is Shelby Martinez Sienna Perry's father?,no,Who is Shelby Martinez to Sienna Perry?,mother,359
Zoe Reed is Zoey Jenkins's mother.,Zoe Reed is Zoey Jenkins's ,mother,Is Zoe Reed Zoey Jenkins's mother?,yes,Is Zoe Reed Zoey Jenkins's aunt?,no,Who is Zoe Reed to Zoey Jenkins?,mother,360
Richard Perry is Robert Perry's child.,Richard Perry is Robert Perry's ,child,Is Richard Perry Robert Perry's child?,yes,Is Richard Perry Robert Perry's mother?,no,Who is Richard Perry to Robert Perry?,child,361
Mia Flores is Nathan Flores's child.,Mia Flores is Nathan Flores's ,child,Is Mia Flores Nathan Flores's child?,yes,Is Mia Flores Nathan Flores's mother?,no,Who is Mia Flores to Nathan Flores?,child,362
Oliver Flores is Molly Flores's father.,Oliver Flores is Molly Flores's ,father,Is Oliver Flores Molly Flores's father?,yes,Is Oliver Flores Molly Flores's nephew?,no,Who is Oliver Flores to Molly Flores?,father,363
Scarlett Martinez is Steven Martinez's mother.,Scarlett Martinez is Steven Martinez's ,mother,Is Scarlett Martinez Steven Martinez's mother?,yes,Is Scarlett Martinez Steven Martinez's wife?,no,Who is Scarlett Martinez to Steven Martinez?,mother,364
Seth Gray is Sadie Brooks's child.,Seth Gray is Sadie Brooks's ,child,Is Seth Gray Sadie Brooks's child?,yes,Is Seth Gray Sadie Brooks's aunt?,no,Who is Seth Gray to Sadie Brooks?,child,365
Scott Gray is Seth Gray's child.,Scott Gray is Seth Gray's ,child,Is Scott Gray Seth Gray's child?,yes,Is Scott Gray Seth Gray's mother?,no,Who is Scott Gray to Seth Gray?,child,366
Natalie Foster is Paul Butler's mother.,Natalie Foster is Paul Butler's ,mother,Is Natalie Foster Paul Butler's mother?,yes,Is Natalie Foster Paul Butler's child?,no,Who is Natalie Foster to Paul Butler?,mother,367
Reid Perry is Paisley Parker's husband.,Reid Perry is Paisley Parker's ,husband,Is Reid Perry Paisley Parker's husband?,yes,Is Reid Perry Paisley Parker's aunt?,no,Who is Reid Perry to Paisley Parker?,husband,368
Piper Bryant is Poppy Perry's mother.,Piper Bryant is Poppy Perry's ,mother,Is Piper Bryant Poppy Perry's mother?,yes,Is Piper Bryant Poppy Perry's aunt?,no,Who is Piper Bryant to Poppy Perry?,mother,369
Xander Jenkins is Zoe Reed's husband.,Xander Jenkins is Zoe Reed's ,husband,Is Xander Jenkins Zoe Reed's husband?,yes,Is Xander Jenkins Zoe Reed's mother?,no,Who is Xander Jenkins to Zoe Reed?,husband,370
Ronan Foster is Samuel Foster's child.,Ronan Foster is Samuel Foster's ,child,Is Ronan Foster Samuel Foster's child?,yes,Is Ronan Foster Samuel Foster's brother?,no,Who is Ronan Foster to Samuel Foster?,child,371
Patrick Butler is Owen Butler's brother.,Patrick Butler is Owen Butler's ,brother,Is Patrick Butler Owen Butler's brother?,yes,Is Patrick Butler Owen Butler's niece?,no,Who is Patrick Butler to Owen Butler?,brother,372
Vincent Hughes is Vanessa Jenkins's father.,Vincent Hughes is Vanessa Jenkins's ,father,Is Vincent Hughes Vanessa Jenkins's father?,yes,Is Vincent Hughes Vanessa Jenkins's aunt?,no,Who is Vincent Hughes to Vanessa Jenkins?,father,373
Naomi Flores is Oliver Flores's wife.,Naomi Flores is Oliver Flores's ,wife,Is Naomi Flores Oliver Flores's wife?,yes,Is Naomi Flores Oliver Flores's niece?,no,Who is Naomi Flores to Oliver Flores?,wife,374
Scott Gray is Quinn Gray's brother.,Scott Gray is Quinn Gray's ,brother,Is Scott Gray Quinn Gray's brother?,yes,Is Scott Gray Quinn Gray's husband?,no,Who is Scott Gray to Quinn Gray?,brother,375
Steven Martinez is Thomas Martinez's child.,Steven Martinez is Thomas Martinez's ,child,Is Steven Martinez Thomas Martinez's child?,yes,Is Steven Martinez Thomas Martinez's brother?,no,Who is Steven Martinez to Thomas Martinez?,child,376
Sadie Brooks is Shane Gray's wife.,Sadie Brooks is Shane Gray's ,wife,Is Sadie Brooks Shane Gray's wife?,yes,Is Sadie Brooks Shane Gray's uncle?,no,Who is Sadie Brooks to Shane Gray?,wife,377
Tessa Jenkins is Trinity Jenkins's sister.,Tessa Jenkins is Trinity Jenkins's ,sister,Is Tessa Jenkins Trinity Jenkins's sister?,yes,Is Tessa Jenkins Trinity Jenkins's uncle?,no,Who is Tessa Jenkins to Trinity Jenkins?,sister,378
Zoey Jenkins is Xavier Ross's wife.,Zoey Jenkins is Xavier Ross's ,wife,Is Zoey Jenkins Xavier Ross's wife?,yes,Is Zoey Jenkins Xavier Ross's husband?,no,Who is Zoey Jenkins to Xavier Ross?,wife,379
Paul Butler is Owen Butler's father.,Paul Butler is Owen Butler's ,father,Is Paul Butler Owen Butler's father?,yes,Is Paul Butler Owen Butler's child?,no,Who is Paul Butler to Owen Butler?,father,380
Wesley Jenkins is Victoria Jenkins's brother.,Wesley Jenkins is Victoria Jenkins's ,brother,Is Wesley Jenkins Victoria Jenkins's brother?,yes,Is Wesley Jenkins Victoria Jenkins's child?,no,Who is Wesley Jenkins to Victoria Jenkins?,brother,381
Samantha Howard is Spencer Gray's mother.,Samantha Howard is Spencer Gray's ,mother,Is Samantha Howard Spencer Gray's mother?,yes,Is Samantha Howard Spencer Gray's nephew?,no,Who is Samantha Howard to Spencer Gray?,mother,382
Quentin Perry is Raymond Perry's brother.,Quentin Perry is Raymond Perry's ,brother,Is Quentin Perry Raymond Perry's brother?,yes,Is Quentin Perry Raymond Perry's sister?,no,Who is Quentin Perry to Raymond Perry?,brother,383
Sebastian Foster is Reagan Parker's husband.,Sebastian Foster is Reagan Parker's ,husband,Is Sebastian Foster Reagan Parker's husband?,yes,Is Sebastian Foster Reagan Parker's child?,no,Who is Sebastian Foster to Reagan Parker?,husband,384
Nolan Flores is Naomi Flores's child.,Nolan Flores is Naomi Flores's ,child,Is Nolan Flores Naomi Flores's child?,yes,Is Nolan Flores Naomi Flores's father?,no,Who is Nolan Flores to Naomi Flores?,child,385
Nicole Butler is Paul Butler's wife.,Nicole Butler is Paul Butler's ,wife,Is Nicole Butler Paul Butler's wife?,yes,Is Nicole Butler Paul Butler's nephew?,no,Who is Nicole Butler to Paul Butler?,wife,386
Scott Gray is Sean Gray's brother.,Scott Gray is Sean Gray's ,brother,Is Scott Gray Sean Gray's brother?,yes,Is Scott Gray Sean Gray's uncle?,no,Who is Scott Gray to Sean Gray?,brother,387
Penelope Foster is Poppy Perry's child.,Penelope Foster is Poppy Perry's ,child,Is Penelope Foster Poppy Perry's child?,yes,Is Penelope Foster Poppy Perry's nephew?,no,Who is Penelope Foster to Poppy Perry?,child,388
Trinity Jenkins is Vanessa Jenkins's child.,Trinity Jenkins is Vanessa Jenkins's ,child,Is Trinity Jenkins Vanessa Jenkins's child?,yes,Is Trinity Jenkins Vanessa Jenkins's uncle?,no,Who is Trinity Jenkins to Vanessa Jenkins?,child,389
Stephen Martinez is Scarlett Martinez's child.,Stephen Martinez is Scarlett Martinez's ,child,Is Stephen Martinez Scarlett Martinez's child?,yes,Is Stephen Martinez Scarlett Martinez's sister?,no,Who is Stephen Martinez to Scarlett Martinez?,child,390
Melanie Flores is Michael Parker's aunt.,Melanie Flores is Michael Parker's ,aunt,Is Melanie Flores Michael Parker's aunt?,yes,Is Melanie Flores Michael Parker's wife?,no,Who is Melanie Flores to Michael Parker?,aunt,391
Violet Jenkins is Tessa Jenkins's aunt.,Violet Jenkins is Tessa Jenkins's ,aunt,Is Violet Jenkins Tessa Jenkins's aunt?,yes,Is Violet Jenkins Tessa Jenkins's niece?,no,Who is Violet Jenkins to Tessa Jenkins?,aunt,392
Rachel Gray is Scott Gray's sister.,Rachel Gray is Scott Gray's ,sister,Is Rachel Gray Scott Gray's sister?,yes,Is Rachel Gray Scott Gray's husband?,no,Who is Rachel Gray to Scott Gray?,sister,393
Sophia Martinez is Sydney Evans's child.,Sophia Martinez is Sydney Evans's ,child,Is Sophia Martinez Sydney Evans's child?,yes,Is Sophia Martinez Sydney Evans's husband?,no,Who is Sophia Martinez to Sydney Evans?,child,394
Paul Butler is Patrick Butler's father.,Paul Butler is Patrick Butler's ,father,Is Paul Butler Patrick Butler's father?,yes,Is Paul Butler Patrick Butler's child?,no,Who is Paul Butler to Patrick Butler?,father,395
Nathan Flores is Melanie Flores's father.,Nathan Flores is Melanie Flores's ,father,Is Nathan Flores Melanie Flores's father?,yes,Is Nathan Flores Melanie Flores's husband?,no,Who is Nathan Flores to Melanie Flores?,father,396
Sadie Brooks is Simon Gray's mother.,Sadie Brooks is Simon Gray's ,mother,Is Sadie Brooks Simon Gray's mother?,yes,Is Sadie Brooks Simon Gray's aunt?,no,Who is Sadie Brooks to Simon Gray?,mother,397
Zachary Ross is Xavier Ross's father.,Zachary Ross is Xavier Ross's ,father,Is Zachary Ross Xavier Ross's father?,yes,Is Zachary Ross Xavier Ross's niece?,no,Who is Zachary Ross to Xavier Ross?,father,398
Sebastian Foster is Samuel Foster's father.,Sebastian Foster is Samuel Foster's ,father,Is Sebastian Foster Samuel Foster's father?,yes,Is Sebastian Foster Samuel Foster's brother?,no,Who is Sebastian Foster to Samuel Foster?,father,399